priority,batch,type,master_slug,display_name_ham,category_slug,cluster_size,search_volume_est,notes
148,B3-medium,singleton,koy-biberi,Köy Biberi,sebze-meyve,1,150,
149,B3-medium,singleton,kudret-nari,KUDRET NARI,sebze-meyve,1,150,
150,B3-medium,singleton,kumkuat-kamkat,KUMKUAT (KAMKAT),meyve,1,150,
151,B3-medium,singleton,kunkat,KUNKAT,sebze-meyve,1,150,
152,B3-medium,singleton,kus-konmaz,Kuş Konmaz,meyve,1,150,
153,B3-medium,singleton,kuskonmaz,Kuşkonmaz,sebze,1,150,
154,B3-medium,singleton,kuzu-kulagi,Kuzu Kulağı,sebze,1,150,
155,B3-medium,singleton,labada,LABADA,sebze,1,150,
156,B3-medium,singleton,lagos,LAGOS,balik,1,150,
157,B3-medium,singleton,lakerda,LAKERDA,balik-deniz,1,150,
158,B3-medium,singleton,lidaki-deniz,LİDAKİ (DENİZ),balik-deniz,1,150,
159,B3-medium,singleton,lime,Lime,sebze-meyve,1,150,
160,B3-medium,singleton,lipsoz-deniz,LİPSÖZ ( DENİZ ),balik-deniz,1,150,
161,B3-medium,singleton,lokum-deniz,LOKUM(DENİZ),balik-deniz,1,150,
162,B3-medium,singleton,lolorosso,Lolorosso,sebze-meyve,1,150,
163,B3-medium,singleton,lychee,LYCHEE,meyve,1,150,
164,B3-medium,singleton,madimak,MADIMAK,sebze,1,150,
165,B3-medium,singleton,mangostan,MANGOSTAN,meyve,1,150,
166,B3-medium,singleton,marya-deniz,MARYA(DENİZ),balik-deniz,1,150,
167,B3-medium,singleton,masko-deniz,MASKO DENİZ,balik-deniz,1,150,
168,B3-medium,singleton,maskolin-500-gr,Maskolin 500 gr,sebze-meyve,1,150,
169,B3-medium,singleton,melanur-deniz,MELANUR (DENİZ),balik-deniz,1,150,
170,B3-medium,singleton,melisa-ogul-otu-yas-taze,MELİSA (OĞUL OTU YAŞ-TAZE),sebze-meyve,1,150,
171,B3-medium,singleton,menekse-deniz,MENEKŞE(DENİZ),balik-deniz,1,150,
172,B3-medium,singleton,mersin-yaban-mersini-mersin-yaban-mersini,MERSİN(YABAN MERSİNİ) MERSİN (YABAN MERSİNİ),sebze-meyve,1,150,
173,B3-medium,singleton,mirmir-deniz,MIRMIR (DENİZ),balik-deniz,1,150,
174,B3-medium,singleton,mizuna-otu,MİZUNA OTU,sebze,1,150,
175,B3-medium,singleton,nohut-taze,NOHUT TAZE,meyve,1,150,
176,B3-medium,singleton,norvec-somonu,Norveç Somonu,sebze-meyve,1,150,
177,B3-medium,singleton,oksuz-deniz,ÖKSÜZ(DENİZ),balik-deniz,1,150,
178,B3-medium,singleton,orfoz-deniz,ORFOZ (DENİZ),balik-deniz,1,150,
179,B3-medium,singleton,organik-domates,Organik Domates,sebze,1,150,
180,B3-medium,singleton,orkinoz-deniz,ORKİNOZ (DENİZ),balik-deniz,1,150,
181,B4-low-niche,singleton,oval-domates,Oval Domates,sebze-meyve,1,150,
182,B4-low-niche,singleton,pakchoi-pakchoi,PAKCHOİ PAKCHOI,sebze-meyve,1,150,
183,B4-low-niche,singleton,palaska-deniz,PALASKA(DENİZ),balik-deniz,1,150,
184,B4-low-niche,singleton,papagan-deniz,PAPAĞAN ( DENİZ ),balik-deniz,1,150,
185,B4-low-niche,singleton,papalina-deniz,PAPALİNA ( DENİZ ),balik-deniz,1,150,
186,B4-low-niche,singleton,papates-yeni,PAPATES YENİ,sebze-meyve,1,150,
187,B4-low-niche,singleton,papaya,PAPAYA,meyve,1,150,
188,B4-low-niche,singleton,passionfruit,PASSIONFRUIT,meyve,1,150,
189,B4-low-niche,singleton,patlakgoz-deniz,PATLAKGÖZ(DENİZ),balik-deniz,1,150,
190,B4-low-niche,singleton,pepino,PEPİNO,meyve,1,150,
191,B4-low-niche,singleton,peygamber-deniz,PEYGAMBER (DENİZ),balik-deniz,1,150,
192,B4-low-niche,singleton,pisi-deniz,PİSİ ( DENİZ ),balik-deniz,1,150,
193,B4-low-niche,singleton,polorosso,Polorosso,sebze-meyve,1,150,
194,B4-low-niche,singleton,port-washington-dal,Port Washington Dal,sebze-meyve,1,150,
195,B4-low-niche,singleton,pshalis-guvey-feneri,PSHALİS(GÜVEY FENERİ),meyve,1,150,
196,B4-low-niche,singleton,rakula,RAKULA,meyve,1,150,
197,B4-low-niche,singleton,rambotan,RAMBOTAN,meyve,1,150,
198,B4-low-niche,singleton,rina-deniz,RİNA(DENİZ),balik-deniz,1,150,
199,B4-low-niche,singleton,ringa,RİNGA,balik-ithal,1,150,
200,B4-low-niche,singleton,rozmerin,Rozmerin,sebze-meyve,1,150,
201,B4-low-niche,singleton,s-kabak,S. Kabak,sebze,1,150,
202,B4-low-niche,singleton,salgam,ŞALGAM,sebze-meyve,1,150,
203,B4-low-niche,singleton,salk-domates,SALK. DOMATES,sebze-meyve,1,150,
204,B4-low-niche,singleton,salkim-domates,SALKIM DOMATES,sebze-meyve,1,150,
205,B4-low-niche,singleton,salkito-kokteyl-d,SALKİTO KOKTEYL D.,sebze-meyve,1,150,
206,B4-low-niche,singleton,sargoz-deniz,SARGOZ(DENİZ),balik-deniz,1,150,
207,B4-low-niche,singleton,sarikanat,SARIKANAT,balik,1,150,
208,B4-low-niche,singleton,sarpa-deniz,SARPA (DENİZ),balik-deniz,1,150,
209,B4-low-niche,singleton,sevketi-bostan,ŞEVKETİ BOSTAN,sebze,1,150,
210,B4-low-niche,singleton,sinarit-deniz,SİNARİT (DENİZ),balik-deniz,1,150,
211,B4-low-niche,singleton,siyah-kabak,SİYAH KABAK,sebze-meyve,1,150,
212,B4-low-niche,singleton,sokkan-deniz,SOKKAN(DENİZ),balik-deniz,1,150,
213,B4-low-niche,singleton,soya-filizi,SOYA FİLİZİ,sebze,1,150,
214,B4-low-niche,singleton,tamarillo,TAMARİLLO,meyve,1,150,
215,B4-low-niche,singleton,tamarind-demirhindi,TAMARİND(DEMİRHİNDİ),meyve,1,150,
216,B4-low-niche,singleton,tarhun,TARHUN,meyve,1,150,
217,B4-low-niche,singleton,tatli-patates,TATLI PATATES,sebze,1,150,
218,B4-low-niche,singleton,taze-bas-sarimsak,Taze baş sarımsak,sebze-meyve,1,150,
219,B4-low-niche,singleton,tereotu,Tereotu,sebze,1,150,
220,B4-low-niche,singleton,termiye,TERMİYE,meyve,1,150,
221,B4-low-niche,singleton,topak-patlican,Topak Patlıcan,sebze-meyve,1,150,
222,B4-low-niche,singleton,torik,TORİK,balik,1,150,
223,B4-low-niche,singleton,tranca-deniz,TRANÇA (DENİZ),balik-deniz,1,150,
224,B4-low-niche,singleton,turmeric-zerdecal,Turmeric (Zerdeçal),sebze-meyve,1,150,
225,B4-low-niche,singleton,uc-burun-koy,Üç Burun Köy,sebze-meyve,1,150,
226,B4-low-niche,singleton,uvez,ÜVEZ,sebze-meyve,1,150,
227,B4-low-niche,singleton,vatoz-deniz,VATOZ (DENİZ),balik-deniz,1,150,
228,B4-low-niche,singleton,yabani-kalamar,YABANİ KALAMAR,balik-deniz,1,150,
229,B4-low-niche,singleton,yaziliorkinos-deniz,YAZILIORKINOS(DENİZ),balik-deniz,1,150,
230,B4-low-niche,singleton,yengec-deniz,YENGEÇ (DENİZ),balik-deniz,1,150,
231,B4-low-niche,singleton,yenidunya,YENİDÜNYA,meyve,1,150,
232,B4-low-niche,singleton,yerelmasi,YERELMASI,sebze,1,150,
233,B4-low-niche,singleton,yerli-muz,Yerli Muz,meyve,1,150,
234,B4-low-niche,singleton,yesillik-maydanoz-nane-tere-roka-dere,"YEŞİLLİK (Maydanoz, Nane, Tere, Roka, Dere)",sebze,1,150,
235,B4-low-niche,singleton,yilan-tatli,YILAN ( TATLI ),balik-tatlisu,1,150,
236,B4-low-niche,singleton,yildiz-meyvesi,YILDIZ MEYVESİ,meyve,1,150,
237,B4-low-niche,singleton,yuvarlak-domates,Yuvarlak Domates,sebze-meyve,1,150,
238,B4-low-niche,singleton,zerdali,ZERDALİ,meyve,1,150,
